"word","gt","options"
"doughnut","circular","['triangular', 'rectangular', 'circular']"
"balloon","circular","['triangular', 'rectangular', 'circular']"
"hand fan","triangular","['triangular', 'rectangular', 'circular']"
"file cabinet","rectangular","['triangular', 'rectangular', 'circular']"
"bead","circular","['triangular', 'rectangular', 'circular']"
"bookshelf","rectangular","['triangular', 'rectangular', 'circular']"
"drain cover","circular","['triangular', 'rectangular', 'circular']"
"hamburger","circular","['triangular', 'rectangular', 'circular']"
"folder","rectangular","['triangular', 'rectangular', 'circular']"
"saucer","circular","['triangular', 'rectangular', 'circular']"
"grapefruit","circular","['triangular', 'rectangular', 'circular']"
"tablet","rectangular","['triangular', 'rectangular', 'circular']"
"meatball","circular","['triangular', 'rectangular', 'circular']"
"marble","circular","['triangular', 'rectangular', 'circular']"
"TV","rectangular","['triangular', 'rectangular', 'circular']"
"watch face","circular","['triangular', 'rectangular', 'circular']"
"teepee","triangular","['triangular', 'rectangular', 'circular']"
"desk","rectangular","['triangular', 'rectangular', 'circular']"
"pill","circular","['triangular', 'rectangular', 'circular']"
"notebook","rectangular","['triangular', 'rectangular', 'circular']"
"tire","circular","['triangular', 'rectangular', 'circular']"
"pearl","circular","['triangular', 'rectangular', 'circular']"
"puck","circular","['triangular', 'rectangular', 'circular']"
"sun","circular","['triangular', 'rectangular', 'circular']"
"table","rectangular","['triangular', 'rectangular', 'circular']"
"disc","circular","['triangular', 'rectangular', 'circular']"
"carpet","rectangular","['triangular', 'rectangular', 'circular']"
"prism","triangular","['triangular', 'rectangular', 'circular']"
"guitar pick","triangular","['triangular', 'rectangular', 'circular']"
"medal","circular","['triangular', 'rectangular', 'circular']"
"hula hoop","circular","['triangular', 'rectangular', 'circular']"
"magazine","rectangular","['triangular', 'rectangular', 'circular']"
"frisbee","circular","['triangular', 'rectangular', 'circular']"
"kite","triangular","['triangular', 'rectangular', 'circular']"
"gear","circular","['triangular', 'rectangular', 'circular']"
"penny","circular","['triangular', 'rectangular', 'circular']"
"poster","rectangular","['triangular', 'rectangular', 'circular']"
"mirror","rectangular","['triangular', 'rectangular', 'circular']"
"airplane wing","triangular","['triangular', 'rectangular', 'circular']"
"orb","circular","['triangular', 'rectangular', 'circular']"
"compass","circular","['triangular', 'rectangular', 'circular']"
"cupcake","circular","['triangular', 'rectangular', 'circular']"
"license plate","rectangular","['triangular', 'rectangular', 'circular']"
